Sender Id,Max of Date Created,Min of Date Created,Average of Amount,recency,frequency,monetary
602,26/02/2024,07/09/2023,390.1,45,11,4291.0
614,18/01/2024,05/10/2023,2095.0,84,4,8380.0
627,16/01/2024,16/01/2024,900.0,86,1,900.0
630,12/01/2024,10/10/2023,628.5,90,2,1257.0
635,12/10/2023,12/10/2023,455.0,182,1,455.0
640,21/02/2024,26/01/2024,486.7,50,3,1460.0
641,06/11/2023,05/10/2023,950.0,157,2,1900.0
649,07/01/2024,21/09/2023,4788.5,95,3,14365.4
657,21/09/2023,21/09/2023,1000.0,203,2,2000.0
676,01/03/2024,27/02/2024,425.0,41,2,850.0
689,19/02/2024,19/02/2024,1000.0,52,1,1000.0
690,21/02/2024,14/11/2023,2097.5,50,2,4195.0
693,26/01/2024,04/10/2023,741.4,76,4,2965.7
698,08/11/2023,08/11/2023,2000.0,155,1,2000.0
709,08/02/2024,11/09/2023,1325.0,63,2,2650.0
713,02/02/2024,02/10/2023,3056.0,69,5,15280.0
715,02/03/2024,04/10/2023,165.0,40,4,660.0
731,20/02/2024,16/11/2023,1287.5,51,4,5150.0
761,27/02/2024,09/10/2023,681.0,44,21,14302.0
784,15/01/2024,15/01/2024,1000.0,87,1,1000.0
800,06/02/2024,19/09/2023,3000.0,65,3,9000.0
812,28/02/2024,28/02/2024,755.7,43,1,755.7
824,23/10/2023,23/10/2023,1500.0,171,1,1500.0
832,06/02/2024,06/02/2024,1150.0,65,1,1150.0
848,15/10/2023,15/10/2023,2000.0,179,1,2000.0
856,30/01/2024,02/01/2024,3150.0,72,2,6300.0
858,14/02/2024,18/10/2023,810.4,57,7,5673.0
860,17/11/2023,17/11/2023,7000.0,146,1,7000.0
867,03/02/2024,07/01/2024,160.3,68,3,481.0
872,02/12/2023,15/09/2023,1932.3,131,9,17391.1
878,29/02/2024,14/09/2023,362.5,42,4,1450.0
879,27/09/2023,27/09/2023,700.0,197,1,700.0
886,29/02/2024,09/10/2023,275.0,42,2,550.0
887,12/10/2023,12/10/2023,1544.0,182,1,1544.0
903,27/02/2024,14/09/2023,3433.6,44,27,92706.0
911,01/03/2024,05/11/2023,442.6,41,24,10622.0
913,23/12/2023,23/12/2023,200.0,110,1,200.0
922,25/10/2023,04/10/2023,10000.0,169,5,50000.0
932,30/09/2023,30/09/2023,3033.0,194,1,3033.0
938,26/11/2023,13/09/2023,1411.3,137,5,7056.4
952,11/10/2023,11/10/2023,1000.0,183,1,1000.0
957,16/10/2023,05/09/2023,2000.0,178,2,4000.0
958,28/12/2023,05/10/2023,1000.0,105,2,2000.0
976,11/11/2023,11/11/2023,1500.0,152,1,1500.0
998,09/02/2024,16/11/2023,189.5,62,4,757.8
1002,21/12/2023,16/10/2023,1276.2,112,4,5104.7
1013,22/12/2023,22/12/2023,250.0,111,1,250.0
1024,11/02/2024,28/11/2023,2054.4,60,2,4108.8
1031,15/02/2024,08/09/2023,888.1,56,14,12434.0
1075,19/09/2023,19/09/2023,7558.5,205,2,15117.0
1085,07/02/2024,07/02/2024,800.0,64,1,800.0
1114,08/02/2024,17/10/2023,427.5,63,4,1710.0
1123,09/02/2024,09/02/2024,365.1,62,1,365.1
1146,10/11/2023,10/11/2023,610.0,153,1,610.0
1161,20/02/2024,12/10/2023,1771.3,51,3,5314.0
1182,29/01/2024,29/01/2024,1200.0,73,1,1200.0
1187,16/01/2024,18/09/2023,725.0,86,4,2900.0
1191,21/02/2024,20/10/2023,655.8,50,5,3279.0
1198,01/02/2024,19/09/2023,905.7,70,3,2717.1
1199,15/02/2024,18/09/2023,750.0,56,5,3750.0
1210,28/02/2024,09/11/2023,1340.9,43,17,22795.0
1213,24/11/2023,08/09/2023,625.0,139,4,2500.0
1226,18/01/2024,16/09/2023,285.7,84,7,2000.0
1252,28/12/2023,01/10/2023,7553.3,105,3,22660.0
1261,23/11/2023,23/11/2023,1000.0,140,1,1000.0
1271,23/02/2024,09/09/2023,572.5,48,9,5152.9
1278,29/10/2023,29/10/2023,5000.0,165,1,5000.0
1288,26/01/2024,26/01/2024,550.0,76,1,550.0
1289,17/10/2023,17/10/2023,2500.0,177,1,2500.0
1295,10/10/2023,10/10/2023,1590.0,184,1,1590.0
1307,28/02/2024,12/09/2023,724.7,43,6,4348.2
1317,06/02/2024,08/09/2023,3107.6,65,6,18645.8
1320,16/12/2023,11/09/2023,2028.3,117,3,6085.0
1325,28/02/2024,28/02/2024,114.2,43,1,114.2
1334,18/12/2023,18/12/2023,4000.0,115,1,4000.0
1348,22/02/2024,10/09/2023,1198.6,49,9,10787.0
1349,23/02/2024,23/02/2024,300.0,48,1,300.0
1350,28/01/2024,13/09/2023,703.8,74,4,2815.0
1353,22/12/2023,22/12/2023,150.0,111,1,150.0
1356,10/02/2024,03/10/2023,333.3,61,3,1000.0
1360,16/02/2024,17/09/2023,2866.7,55,3,8600.0
1361,16/11/2023,23/10/2023,842.5,147,4,3370.0
1364,15/09/2023,15/09/2023,76.0,209,1,76.0
1366,12/02/2024,09/10/2023,1666.7,59,3,5000.0
1382,01/03/2024,01/03/2024,250.0,41,1,250.0
1390,09/11/2023,08/11/2023,700.0,154,2,1400.0
1391,11/01/2024,12/11/2023,150.0,91,2,300.0
1403,14/01/2024,10/10/2023,2572.5,88,4,10290.0
1412,07/02/2024,05/11/2023,1152.0,64,5,5760.0
1415,04/10/2023,04/10/2023,200.0,190,1,200.0
1417,11/02/2024,12/09/2023,2102.6,60,8,16821.0
1435,06/11/2023,06/11/2023,620.0,157,1,620.0
1440,01/03/2024,14/01/2024,603.3,41,3,1810.0
1441,29/11/2023,06/10/2023,133.5,134,2,267.0
1442,07/02/2024,06/09/2023,1734.8,64,9,15613.0
1447,09/01/2024,09/01/2024,2300.0,93,1,2300.0
1450,26/11/2023,26/09/2023,450.3,137,6,2702.0
1457,11/10/2023,11/10/2023,3800.0,183,1,3800.0
