Sender ID,Min of date_created,Max of date_created,Average of amount,Recency,Frequency,Monetary
10,01/10/2023,02/03/2024,1795.7,45,3,5387.02
20,20/03/2024,26/03/2024,3277.5,20.9,4,13110
24,12/09/2023,17/03/2024,592.2,30.8,20,11844
27,18/10/2023,18/12/2023,614.8,120.2,3,1844.29
30,13/09/2023,20/01/2024,555,87.6,2,1110
31,10/03/2024,10/03/2024,229,37,1,229
36,14/09/2023,01/02/2024,666.7,75.1,3,2000
38,16/12/2023,03/03/2024,3718.8,43.9,8,29750.67
42,02/12/2023,23/02/2024,500,52.9,2,1000
46,19/11/2023,19/11/2023,500,148.9,1,500
48,09/10/2023,09/10/2023,2268.5,189.9,1,2268.45
49,26/09/2023,26/09/2023,400,203.2,1,400
52,08/02/2024,27/03/2024,7576,19.8,5,37880
53,15/09/2023,13/03/2024,1714.3,34.4,7,12000
61,07/01/2024,01/02/2024,2500,75.4,2,5000
62,02/10/2023,22/11/2023,104.5,146,2,209
63,18/11/2023,21/11/2023,2080.5,147.1,2,4161
64,13/11/2023,08/03/2024,149,39.2,2,298
66,02/01/2024,02/01/2024,380,105,1,380
67,12/01/2024,12/01/2024,2000,95.2,1,2000
68,15/12/2023,23/02/2024,700.3,53.4,4,2801
75,10/09/2023,03/03/2024,3203.5,44.5,8,25628
81,24/12/2023,28/01/2024,1100,79.4,2,2200
85,27/03/2024,27/03/2024,1000,20,1,1000
87,12/02/2024,12/02/2024,1300,63.8,1,1300
92,24/03/2024,24/03/2024,5610,22.9,1,5610
94,08/09/2023,16/03/2024,459.3,31.6,3,1378
98,15/09/2023,26/03/2024,669.2,21.3,13,8700
99,19/10/2023,19/10/2023,353,180,2,706
102,27/01/2024,27/01/2024,2000,80,1,2000
105,03/10/2023,12/02/2024,527.8,64.4,3,1583.44
112,26/11/2023,26/11/2023,2650,141.8,1,2650
116,20/09/2023,13/12/2023,2800,125.2,2,5600
118,12/09/2023,20/03/2024,153.7,27.4,16,2459.86
120,23/09/2023,23/03/2024,368.5,24.4,8,2948
124,19/12/2023,19/12/2023,1150,118.8,1,1150
138,25/09/2023,11/11/2023,325,157.5,2,650
142,08/11/2023,20/03/2024,1905.7,27,9,17151
147,28/10/2023,02/02/2024,1025.3,74.3,2,2050.66
150,05/03/2024,05/03/2024,1000,41.9,1,1000
152,14/03/2024,14/03/2024,1250,33,2,2500
160,10/11/2023,23/02/2024,283.3,53.3,3,850
161,29/03/2024,29/03/2024,250,18.4,1,250
167,25/09/2023,29/03/2024,758,18,10,7580
173,14/10/2023,16/01/2024,701.7,91,3,2105
174,14/01/2024,19/03/2024,4180,28,2,8360
180,19/10/2023,19/10/2023,757,180,1,757
187,07/10/2023,07/10/2023,757,192,1,757
188,21/12/2023,21/12/2023,6000,117.2,1,6000
209,17/09/2023,21/12/2023,162,117.5,4,647.99
212,16/11/2023,16/11/2023,151.1,151.9,1,151.12
215,02/11/2023,02/11/2023,1437,166.5,1,1437
216,12/09/2023,26/03/2024,631.8,21,10,6318.3
222,01/01/2024,05/03/2024,142.8,42.5,4,571
227,06/09/2023,09/02/2024,401,67.4,2,802
238,16/10/2023,10/01/2024,1000,97.5,2,2000
246,17/09/2023,31/03/2024,1826.4,16.6,8,14611.15
247,09/10/2023,09/10/2023,290,190.3,2,580
250,27/11/2023,23/02/2024,1250,53.5,2,2500
252,21/12/2023,10/01/2024,225.9,97.1,3,677.65
260,28/01/2024,28/01/2024,1525,79.1,1,1525
268,06/09/2023,24/09/2023,7500,204.8,4,30000
272,05/01/2024,05/01/2024,1600,102.2,1,1600
281,05/09/2023,07/02/2024,1391.7,68.8,6,8350
285,08/02/2024,08/02/2024,2282,68,1,2282
286,19/09/2023,09/01/2024,1200,98.3,10,12000
305,12/10/2023,05/03/2024,136.1,42,9,1225
315,30/09/2023,06/03/2024,139.7,41.4,10,1396.94
322,25/09/2023,28/03/2024,956.7,19.4,3,2870
324,03/10/2023,18/01/2024,500,89.1,2,1000
326,05/01/2024,15/03/2024,2621,32.5,2,5242
333,12/10/2023,14/11/2023,201.5,154.2,2,403
