Sender ID,Max of Date Created,Recency,frequency,monetary,Average of Total Amount
4395,12/02/2024,58,46,184940.41,4020.443696
4626,11/02/2023,424,6,21575,3595.833333
4634,04/01/2019,1923,1,5000,5000
4711,11/12/2021,851,5,19673.01,3934.602
4713,01/06/2020,1409,14,57375,4098.214286
4716,01/03/2024,40,2,12500,6250
4814,06/01/2024,95,3,12000,4000
4894,02/03/2019,1866,1,7492,7492
4897,03/02/2024,67,15,59679.99,3978.666
4927,08/06/2021,1037,1,7775,7775
4969,23/05/2023,323,7,26499.99,3785.712857
5093,21/04/2019,1816,1,4600,4600
5153,09/05/2019,1798,1,10000,10000
5292,23/07/2019,1723,2,20000,10000
5347,30/04/2022,711,8,30424.98,3803.1225
5489,19/02/2021,1146,13,81273,6251.769231
5574,01/03/2024,40,21,92352.99,4397.761429
5600,14/11/2019,1609,7,42771.97,6110.281429
5613,22/04/2019,1815,1,10000,10000
5676,29/05/2019,1778,1,10000,10000
5727,04/03/2020,1498,2,18695.6,9347.8
5987,31/01/2021,1165,3,15510,5170
6080,06/02/2023,429,8,33705,4213.125
6138,28/02/2024,42,1,9129,9129
6220,07/07/2020,1373,15,68942,4596.133333
6334,07/04/2021,1099,1,5000,5000
6418,11/04/2022,730,5,23274,4654.8
6433,10/10/2021,913,4,16002.99,4000.7475
6436,20/02/2020,1511,2,16041.5,8020.75
6441,01/09/2019,1683,2,17600,8800
6466,08/02/2023,427,8,38594.29,4824.28625
6594,14/06/2022,666,1,4250,4250
6607,12/06/2021,1033,29,124045,4277.413793
6647,27/01/2021,1169,1,7520,7520
6748,18/07/2019,1728,7,35761,5108.714286
6749,22/08/2021,962,10,41307.99,4130.799
6757,28/09/2021,925,1,7000,7000
6804,12/03/2022,760,3,19000,6333.333333
6805,01/07/2020,1379,5,20210,4042
6840,26/11/2022,501,6,23155.97,3859.328333
6891,21/06/2019,1755,3,30000,10000
6893,21/08/2021,963,5,25500,5100
6992,22/09/2020,1296,3,10894,3631.333333
6994,21/09/2020,1297,22,104500,4750
7035,26/02/2024,44,47,194692.92,4142.402553
7062,26/09/2023,197,20,83766.19,4188.3095
7070,03/03/2023,404,12,103750,8645.833333
7115,25/04/2020,1446,12,59600,4966.666667
7199,07/10/2020,1281,1,7000,7000
7286,31/12/2018,1927,1,10000,10000
7310,17/05/2019,1790,3,15000,5000
7529,22/05/2019,1785,1,6600,6600
7632,15/01/2019,1912,1,4460,4460
7713,22/10/2019,1632,4,19232.47,4808.1175
7771,07/05/2022,704,3,14003.12,4667.706667
7857,25/12/2021,837,1,6000,6000
7930,04/04/2019,1833,1,4000,4000
7940,30/08/2022,589,8,45319.24,5664.905
7995,30/08/2019,1685,1,4445,4445
8008,26/01/2024,75,10,66187.42,6618.742
8017,02/02/2021,1163,2,17378,8689
8084,08/03/2022,764,4,37420,9355
8089,20/11/2019,1603,2,17558,8779
8171,24/12/2023,108,24,86331.95,3597.164583
8197,17/02/2024,53,12,59204.46,4933.705
8220,16/10/2023,177,16,66247.75,4140.484375
8313,18/12/2020,1209,2,16000,8000
8359,13/02/2019,1883,1,4000,4000
8366,21/01/2021,1175,2,18000,9000
8367,20/06/2023,295,13,63487.49,4883.653077
8489,12/03/2020,1490,1,5000,5000
8502,14/04/2019,1823,1,4000,4000
8509,27/05/2023,319,6,28000,4666.666667
8516,26/01/2019,1901,1,8500,8500
8615,07/11/2023,155,17,60975.09,3586.77
8629,25/02/2024,45,20,82896.48,4144.824
8668,08/01/2020,1554,6,34509,5751.5
8735,22/04/2021,1084,6,35299,5883.166667
8763,28/04/2020,1443,16,115200,7200
8765,31/03/2020,1471,6,24531,4088.5
8797,30/01/2024,71,4,18007.99,4501.9975
8803,21/02/2023,414,25,91170.74,3646.8296
8868,30/05/2020,1411,7,26497,3785.285714
8906,15/01/2019,1912,1,9804,9804
8934,21/02/2021,1144,13,47302.99,3638.691538
8946,26/05/2021,1050,3,11058.99,3686.33
8951,15/12/2023,117,7,42403.99,6057.712857
9010,23/07/2019,1723,3,15050,5016.666667
9013,16/07/2019,1730,3,11850,3950
9066,06/10/2022,552,17,63080.47,3710.615882
9087,18/10/2020,1270,9,54536.98,6059.664444
